id,created_at,vehicle_model,issue,status,completed_at,month
T000115,2023-04-02,E-Sports GT,Battery range reduced,completed,2023-04-07,2023-04
T000116,2023-04-02,E-Sports GT,Display console malfunction,completed,2023-04-03,2023-04
T000117,2023-04-02,E-SUV Elite,Tire replacement needed,completed,2023-04-04,2023-04
T000118,2023-04-02,E-Compact City,Display console malfunction,completed,2023-04-06,2023-04
T000119,2023-04-03,E-Sedan Pro,Brake system check,in_progress,,2023-04
T000120,2023-04-05,E-Sports GT,Tire replacement needed,completed,2023-04-08,2023-04
T000121,2023-04-05,E-Truck Power,Motor performance issue,completed,2023-04-11,2023-04
T000122,2023-04-06,E-Truck Power,Brake system check,completed,2023-04-12,2023-04
T000123,2023-04-06,E-Truck Power,Climate control fault,completed,2023-04-08,2023-04
T000124,2023-04-06,E-Sedan Pro,Climate control fault,completed,2023-04-10,2023-04
T000125,2023-04-06,E-Compact City,Tire replacement needed,completed,2023-04-09,2023-04
T000126,2023-04-06,E-Truck Power,Brake system check,open,,2023-04
T000127,2023-04-07,E-Truck Power,Climate control fault,open,,2023-04
T000128,2023-04-07,E-Compact City,Climate control fault,in_progress,,2023-04
T000129,2023-04-08,E-Sedan Pro,General maintenance,completed,2023-04-14,2023-04
T000130,2023-04-09,E-Compact City,Brake system check,completed,2023-04-14,2023-04
T000131,2023-04-09,E-Truck Power,Brake system check,completed,2023-04-10,2023-04
T000132,2023-04-11,E-Sedan Pro,Charging port not working,in_progress,,2023-04
T000133,2023-04-11,E-Truck Power,Suspension noise,completed,2023-04-15,2023-04
T000134,2023-04-11,E-Compact City,Climate control fault,in_progress,,2023-04
T000135,2023-04-12,E-Sports GT,Tire replacement needed,completed,2023-04-16,2023-04
T000136,2023-04-13,E-Sports GT,Tire replacement needed,completed,2023-04-14,2023-04
T000137,2023-04-13,E-Compact City,Suspension noise,in_progress,,2023-04
T000138,2023-04-14,E-Sports GT,Battery range reduced,completed,2023-04-16,2023-04
T000139,2023-04-14,E-Truck Power,Climate control fault,completed,2023-04-16,2023-04
T000140,2023-04-16,E-SUV Elite,Battery range reduced,open,,2023-04
T000141,2023-04-16,E-Compact City,Software update required,completed,2023-04-22,2023-04
T000142,2023-04-17,E-Truck Power,Brake system check,completed,2023-04-19,2023-04
T000143,2023-04-17,E-Sports GT,Brake system check,completed,2023-04-19,2023-04
T000144,2023-04-18,E-Sedan Pro,Tire replacement needed,open,,2023-04
T000145,2023-04-18,E-Sedan Pro,Battery range reduced,open,,2023-04
T000146,2023-04-19,E-Truck Power,Tire replacement needed,in_progress,,2023-04
T000147,2023-04-19,E-Sedan Pro,Suspension noise,completed,2023-04-23,2023-04
T000148,2023-04-20,E-Sports GT,Climate control fault,open,,2023-04
T000149,2023-04-20,E-Sedan Pro,Charging port not working,completed,2023-04-25,2023-04
T000150,2023-04-20,E-Truck Power,Software update required,completed,2023-04-25,2023-04
T000151,2023-04-20,E-Sports GT,Motor performance issue,completed,2023-04-22,2023-04
T000152,2023-04-20,E-Truck Power,Charging port not working,completed,2023-04-25,2023-04
T000153,2023-04-21,E-Truck Power,Climate control fault,open,,2023-04
T000154,2023-04-22,E-SUV Elite,Brake system check,completed,2023-04-28,2023-04
T000155,2023-04-22,E-Compact City,Software update required,completed,2023-04-26,2023-04
T000156,2023-04-22,E-Compact City,Charging port not working,completed,2023-04-25,2023-04
T000157,2023-04-25,E-Truck Power,General maintenance,in_progress,,2023-04
T000158,2023-04-25,E-Compact City,Suspension noise,in_progress,,2023-04
T000159,2023-04-26,E-Truck Power,Brake system check,in_progress,,2023-04
T000160,2023-04-26,E-Sports GT,Suspension noise,open,,2023-04
T000161,2023-04-27,E-Sedan Pro,Tire replacement needed,in_progress,,2023-04
T000162,2023-04-27,E-SUV Elite,Brake system check,open,,2023-04
T000163,2023-04-28,E-Truck Power,Tire replacement needed,completed,2023-04-29,2023-04
T000164,2023-04-28,E-Compact City,Suspension noise,open,,2023-04
T000165,2023-04-28,E-Sports GT,Climate control fault,in_progress,,2023-04
T000166,2023-04-29,E-Truck Power,Tire replacement needed,in_progress,,2023-04
T000167,2023-04-29,E-Truck Power,Motor performance issue,completed,2023-05-02,2023-04
T000168,2023-04-30,E-Sports GT,Battery range reduced,in_progress,,2023-04
T000169,2023-04-30,E-Sports GT,Suspension noise,open,,2023-04
T000170,2023-05-01,E-Compact City,Suspension noise,completed,2023-05-02,2023-05
T000171,2023-05-01,E-Compact City,Battery range reduced,completed,2023-05-03,2023-05
T000172,2023-05-01,E-Sports GT,General maintenance,in_progress,,2023-05
T000173,2023-05-01,E-Sedan Pro,Tire replacement needed,completed,2023-05-06,2023-05
T000174,2023-05-01,E-Sedan Pro,Climate control fault,open,,2023-05
T000175,2023-05-02,E-SUV Elite,Tire replacement needed,open,,2023-05
T000176,2023-05-02,E-Sports GT,Software update required,completed,2023-05-05,2023-05
T000177,2023-05-02,E-Compact City,Display console malfunction,open,,2023-05
T000178,2023-05-02,E-Compact City,Battery range reduced,completed,2023-05-04,2023-05
T000179,2023-05-02,E-Truck Power,Charging port not working,completed,2023-05-08,2023-05
T000180,2023-05-03,E-Sports GT,Software update required,in_progress,,2023-05
T000181,2023-05-03,E-Sedan Pro,Tire replacement needed,in_progress,,2023-05
T000182,2023-05-03,E-Sports GT,Climate control fault,completed,2023-05-04,2023-05
T000183,2023-05-04,E-SUV Elite,Software update required,completed,2023-05-07,2023-05
T000184,2023-05-04,E-SUV Elite,Suspension noise,completed,2023-05-06,2023-05
T000185,2023-05-05,E-SUV Elite,Charging port not working,in_progress,,2023-05
T000186,2023-05-05,E-SUV Elite,Climate control fault,in_progress,,2023-05
T000187,2023-05-06,E-Sports GT,Software update required,in_progress,,2023-05
T000188,2023-05-06,E-Truck Power,Charging port not working,completed,2023-05-12,2023-05
T000189,2023-05-06,E-Truck Power,Battery range reduced,open,,2023-05
T000190,2023-05-06,E-Sedan Pro,Suspension noise,completed,2023-05-10,2023-05
T000191,2023-05-07,E-SUV Elite,Display console malfunction,open,,2023-05
T000192,2023-05-07,E-Sports GT,Climate control fault,in_progress,,2023-05
T000193,2023-05-07,E-Sedan Pro,Suspension noise,completed,2023-05-08,2023-05
T000194,2023-05-07,E-Sports GT,Suspension noise,completed,2023-05-13,2023-05
T000195,2023-05-08,E-SUV Elite,Display console malfunction,completed,2023-05-13,2023-05
T000196,2023-05-09,E-Sedan Pro,Charging port not working,open,,2023-05
T000197,2023-05-09,E-Sports GT,Brake system check,completed,2023-05-14,2023-05
T000198,2023-05-09,E-Sedan Pro,Tire replacement needed,completed,2023-05-10,2023-05
T000199,2023-05-09,E-SUV Elite,Suspension noise,open,,2023-05
T000200,2023-05-10,E-Truck Power,Suspension noise,in_progress,,2023-05
T000201,2023-05-10,E-Truck Power,General maintenance,in_progress,,2023-05
T000202,2023-05-11,E-Truck Power,Suspension noise,open,,2023-05
T000203,2023-05-11,E-Compact City,General maintenance,completed,2023-05-13,2023-05
T000204,2023-05-12,E-Sports GT,Motor performance issue,completed,2023-05-14,2023-05
T000205,2023-05-12,E-Sedan Pro,Tire replacement needed,completed,2023-05-16,2023-05
T000206,2023-05-14,E-Truck Power,General maintenance,completed,2023-05-20,2023-05
T000207,2023-05-15,E-Sedan Pro,Display console malfunction,completed,2023-05-18,2023-05
T000208,2023-05-16,E-Truck Power,Battery range reduced,completed,2023-05-20,2023-05
T000209,2023-05-16,E-Sedan Pro,Brake system check,in_progress,,2023-05
T000210,2023-05-17,E-Sports GT,Software update required,open,,2023-05
T000211,2023-05-18,E-Truck Power,Display console malfunction,completed,2023-05-20,2023-05
T000212,2023-05-18,E-Truck Power,Charging port not working,open,,2023-05
T000213,2023-05-18,E-SUV Elite,Battery range reduced,open,,2023-05
T000214,2023-05-19,E-Sedan Pro,Charging port not working,in_progress,,2023-05
T000215,2023-05-19,E-Compact City,Software update required,completed,2023-05-20,2023-05
T000216,2023-05-20,E-Compact City,Motor performance issue,in_progress,,2023-05
T000217,2023-05-20,E-Sports GT,Battery range reduced,open,,2023-05
T000218,2023-05-20,E-Truck Power,Brake system check,completed,2023-05-26,2023-05
T000219,2023-05-21,E-Compact City,Motor performance issue,completed,2023-05-26,2023-05
T000220,2023-05-22,E-Truck Power,Brake system check,completed,2023-05-25,2023-05
T000221,2023-05-22,E-Sports GT,Tire replacement needed,completed,2023-05-26,2023-05
T000222,2023-05-23,E-Sedan Pro,Battery range reduced,completed,2023-05-28,2023-05
T000223,2023-05-24,E-Compact City,Brake system check,completed,2023-05-27,2023-05
T000224,2023-05-24,E-Compact City,General maintenance,completed,2023-05-27,2023-05
T000225,2023-05-24,E-SUV Elite,Battery range reduced,in_progress,,2023-05
T000226,2023-05-25,E-Truck Power,Tire replacement needed,completed,2023-05-27,2023-05
T000227,2023-05-26,E-SUV Elite,Climate control fault,in_progress,,2023-05
T000228,2023-05-26,E-Compact City,Brake system check,completed,2023-05-30,2023-05
T000229,2023-05-26,E-Sedan Pro,Motor performance issue,completed,2023-05-30,2023-05
T000230,2023-05-26,E-Sports GT,Suspension noise,in_progress,,2023-05
T000231,2023-05-26,E-Sports GT,Tire replacement needed,in_progress,,2023-05
T000232,2023-05-27,E-Truck Power,Suspension noise,completed,2023-05-28,2023-05
T000233,2023-05-27,E-Truck Power,Brake system check,completed,2023-05-31,2023-05
T000234,2023-05-27,E-Compact City,Display console malfunction,in_progress,,2023-05
T000235,2023-05-27,E-SUV Elite,Charging port not working,completed,2023-06-02,2023-05
T000236,2023-05-27,E-Sedan Pro,General maintenance,in_progress,,2023-05
T000237,2023-05-28,E-Truck Power,Display console malfunction,completed,2023-06-03,2023-05
T000238,2023-05-28,E-SUV Elite,Motor performance issue,completed,2023-05-30,2023-05
T000239,2023-05-29,E-Sports GT,Motor performance issue,completed,2023-06-04,2023-05
T000240,2023-05-29,E-Sports GT,General maintenance,completed,2023-05-30,2023-05
T000241,2023-05-30,E-Compact City,Charging port not working,completed,2023-06-03,2023-05
T000242,2023-05-31,E-Truck Power,Display console malfunction,open,,2023-05
T000243,2023-05-31,E-Sports GT,Brake system check,open,,2023-05
T000244,2023-06-01,E-Sports GT,Software update required,in_progress,,2023-06
T000245,2023-06-01,E-Sedan Pro,Suspension noise,completed,2023-06-06,2023-06
T000246,2023-06-01,E-Sports GT,Suspension noise,completed,2023-06-04,2023-06
T000247,2023-06-01,E-SUV Elite,Charging port not working,open,,2023-06
T000248,2023-06-01,E-Sports GT,Brake system check,completed,2023-06-03,2023-06
T000249,2023-06-02,E-Truck Power,Tire replacement needed,open,,2023-06
T000250,2023-06-03,E-Compact City,Climate control fault,open,,2023-06
T000251,2023-06-05,E-SUV Elite,Brake system check,in_progress,,2023-06
T000252,2023-06-05,E-Sports GT,Climate control fault,completed,2023-06-06,2023-06
T000253,2023-06-06,E-Sports GT,Battery range reduced,in_progress,,2023-06
T000254,2023-06-06,E-Sports GT,Tire replacement needed,in_progress,,2023-06
T000255,2023-06-07,E-Truck Power,Motor performance issue,in_progress,,2023-06
T000256,2023-06-07,E-Truck Power,Display console malfunction,completed,2023-06-13,2023-06
T000257,2023-06-08,E-Compact City,Suspension noise,in_progress,,2023-06
T000258,2023-06-09,E-Compact City,Brake system check,in_progress,,2023-06
T000259,2023-06-09,E-SUV Elite,Climate control fault,open,,2023-06
T000260,2023-06-11,E-Compact City,Battery range reduced,open,,2023-06
T000261,2023-06-11,E-Sedan Pro,Software update required,completed,2023-06-14,2023-06
T000262,2023-06-11,E-Sports GT,Display console malfunction,completed,2023-06-17,2023-06
T000263,2023-06-12,E-Sports GT,Display console malfunction,completed,2023-06-15,2023-06
T000264,2023-06-13,E-Sedan Pro,General maintenance,completed,2023-06-16,2023-06
T000265,2023-06-13,E-SUV Elite,Display console malfunction,completed,2023-06-14,2023-06
T000266,2023-06-13,E-SUV Elite,Charging port not working,completed,2023-06-16,2023-06
T000267,2023-06-14,E-Compact City,Display console malfunction,in_progress,,2023-06
T000268,2023-06-14,E-Sports GT,Display console malfunction,open,,2023-06
T000269,2023-06-14,E-Truck Power,Brake system check,open,,2023-06
T000270,2023-06-14,E-Sedan Pro,Motor performance issue,in_progress,,2023-06
T000271,2023-06-15,E-Sedan Pro,Brake system check,in_progress,,2023-06
T000272,2023-06-15,E-Compact City,Battery range reduced,completed,2023-06-17,2023-06
T000273,2023-06-15,E-Truck Power,Tire replacement needed,completed,2023-06-18,2023-06
T000274,2023-06-15,E-Compact City,Motor performance issue,in_progress,,2023-06
T000275,2023-06-16,E-Compact City,Charging port not working,open,,2023-06
T000276,2023-06-18,E-Sports GT,General maintenance,in_progress,,2023-06
T000277,2023-06-18,E-Sports GT,Climate control fault,completed,2023-06-23,2023-06
T000278,2023-06-18,E-Compact City,Battery range reduced,in_progress,,2023-06
T000279,2023-06-21,E-Truck Power,Battery range reduced,in_progress,,2023-06
T000280,2023-06-21,E-Sedan Pro,Brake system check,completed,2023-06-24,2023-06
T000281,2023-06-23,E-Sedan Pro,Display console malfunction,completed,2023-06-29,2023-06
T000282,2023-06-23,E-Sports GT,General maintenance,open,,2023-06
T000283,2023-06-23,E-Sedan Pro,General maintenance,open,,2023-06
T000284,2023-06-23,E-Sedan Pro,Battery range reduced,in_progress,,2023-06
T000285,2023-06-23,E-Truck Power,Brake system check,completed,2023-06-29,2023-06
T000286,2023-06-23,E-Truck Power,Battery range reduced,completed,2023-06-28,2023-06
T000287,2023-06-24,E-Sports GT,Charging port not working,in_progress,,2023-06
T000288,2023-06-24,E-Compact City,Charging port not working,completed,2023-06-29,2023-06
T000289,2023-06-25,E-Sports GT,Brake system check,completed,2023-06-30,2023-06
T000290,2023-06-25,E-Sports GT,Climate control fault,in_progress,,2023-06
T000291,2023-06-25,E-Sports GT,Brake system check,completed,2023-06-30,2023-06
T000292,2023-06-25,E-Compact City,Suspension noise,open,,2023-06
T000293,2023-06-26,E-Sedan Pro,Display console malfunction,open,,2023-06
T000294,2023-06-26,E-Truck Power,Battery range reduced,completed,2023-06-27,2023-06
T000295,2023-06-26,E-Truck Power,Tire replacement needed,open,,2023-06
T000296,2023-06-27,E-SUV Elite,Battery range reduced,open,,2023-06
T000297,2023-06-28,E-Compact City,General maintenance,open,,2023-06
T000298,2023-06-30,E-Compact City,Climate control fault,in_progress,,2023-06
T000299,2023-06-30,E-Compact City,Tire replacement needed,open,,2023-06
T000300,2023-07-01,E-Truck Power,Software update required,in_progress,,2023-07
T000301,2023-07-01,E-Sedan Pro,General maintenance,open,,2023-07
T000302,2023-07-01,E-Sedan Pro,Climate control fault,completed,2023-07-05,2023-07
T000303,2023-07-01,E-Compact City,Brake system check,completed,2023-07-06,2023-07
T000304,2023-07-02,E-SUV Elite,Charging port not working,completed,2023-07-06,2023-07
T000305,2023-07-02,E-Sports GT,Display console malfunction,completed,2023-07-07,2023-07
T000306,2023-07-03,E-SUV Elite,Climate control fault,completed,2023-07-09,2023-07
T000307,2023-07-03,E-Sports GT,Motor performance issue,completed,2023-07-04,2023-07
T000308,2023-07-05,E-Compact City,Motor performance issue,open,,2023-07
T000309,2023-07-05,E-Truck Power,Charging port not working,completed,2023-07-11,2023-07
T000310,2023-07-05,E-Sports GT,Display console malfunction,completed,2023-07-07,2023-07
T000311,2023-07-06,E-SUV Elite,Software update required,completed,2023-07-08,2023-07
T000312,2023-07-06,E-Truck Power,Climate control fault,open,,2023-07
T000313,2023-07-07,E-SUV Elite,Charging port not working,completed,2023-07-10,2023-07
T000314,2023-07-08,E-SUV Elite,Battery range reduced,completed,2023-07-11,2023-07
T000315,2023-07-08,E-Sports GT,Battery range reduced,in_progress,,2023-07
T000316,2023-07-09,E-Sedan Pro,Software update required,open,,2023-07
T000317,2023-07-09,E-SUV Elite,General maintenance,in_progress,,2023-07
T000318,2023-07-10,E-Truck Power,Battery range reduced,completed,2023-07-16,2023-07
T000319,2023-07-10,E-Truck Power,Display console malfunction,in_progress,,2023-07
T000320,2023-07-11,E-Compact City,Suspension noise,completed,2023-07-15,2023-07
T000321,2023-07-11,E-SUV Elite,Software update required,in_progress,,2023-07
T000322,2023-07-12,E-Compact City,General maintenance,completed,2023-07-18,2023-07
T000323,2023-07-12,E-Compact City,Display console malfunction,in_progress,,2023-07
T000324,2023-07-12,E-Truck Power,Motor performance issue,completed,2023-07-18,2023-07
T000325,2023-07-12,E-Sports GT,Motor performance issue,completed,2023-07-13,2023-07
T000326,2023-07-12,E-SUV Elite,Motor performance issue,completed,2023-07-17,2023-07
T000327,2023-07-13,E-SUV Elite,Display console malfunction,open,,2023-07
T000328,2023-07-13,E-SUV Elite,Display console malfunction,completed,2023-07-14,2023-07
T000329,2023-07-13,E-Truck Power,Software update required,open,,2023-07
T000330,2023-07-13,E-Truck Power,Display console malfunction,open,,2023-07
T000331,2023-07-14,E-SUV Elite,General maintenance,in_progress,,2023-07
T000332,2023-07-14,E-Sports GT,Software update required,completed,2023-07-15,2023-07
T000333,2023-07-15,E-Compact City,Climate control fault,completed,2023-07-21,2023-07
T000334,2023-07-15,E-Sports GT,Brake system check,completed,2023-07-19,2023-07
T000335,2023-07-15,E-Sedan Pro,Display console malfunction,completed,2023-07-19,2023-07
T000336,2023-07-15,E-Compact City,Display console malfunction,in_progress,,2023-07
T000337,2023-07-16,E-Truck Power,Motor performance issue,in_progress,,2023-07
T000338,2023-07-16,E-Sports GT,Brake system check,completed,2023-07-21,2023-07
T000339,2023-07-16,E-SUV Elite,Motor performance issue,in_progress,,2023-07
T000340,2023-07-16,E-Sedan Pro,Climate control fault,open,,2023-07
T000341,2023-07-17,E-Sports GT,Tire replacement needed,in_progress,,2023-07
T000342,2023-07-17,E-Compact City,Climate control fault,completed,2023-07-19,2023-07
T000343,2023-07-17,E-Compact City,Charging port not working,completed,2023-07-19,2023-07
T000344,2023-07-18,E-Compact City,Tire replacement needed,open,,2023-07
T000345,2023-07-18,E-Sedan Pro,General maintenance,completed,2023-07-24,2023-07
T000346,2023-07-18,E-Sports GT,Battery range reduced,in_progress,,2023-07
T000347,2023-07-20,E-SUV Elite,Tire replacement needed,completed,2023-07-26,2023-07
T000348,2023-07-21,E-Truck Power,Tire replacement needed,open,,2023-07
T000349,2023-07-21,E-Truck Power,General maintenance,completed,2023-07-24,2023-07
T000350,2023-07-21,E-Truck Power,Software update required,completed,2023-07-26,2023-07
T000351,2023-07-22,E-SUV Elite,Tire replacement needed,completed,2023-07-26,2023-07
T000352,2023-07-22,E-Truck Power,Motor performance issue,completed,2023-07-23,2023-07
T000353,2023-07-22,E-Truck Power,Tire replacement needed,in_progress,,2023-07
T000354,2023-07-22,E-Sports GT,Battery range reduced,completed,2023-07-27,2023-07
T000355,2023-07-23,E-SUV Elite,Motor performance issue,completed,2023-07-27,2023-07
T000356,2023-07-23,E-Sports GT,Climate control fault,open,,2023-07
T000357,2023-07-24,E-SUV Elite,Software update required,completed,2023-07-26,2023-07
